OTUID,Feature.ID,Kingdom,Phylum,Class,Order,Family,Genus,confidence
118108e102c809deccf452084c5b5748,X96,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium,0.999797841
8a8f453c27cfdc48c0f1ec1df064f0e0,X97,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999948083
0b25ff0a69ccb93866917a823f656ecb,X98,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.973617923
479d827e7080273054d5eee9df534cd0,X99,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.97164625
da786ad5e1ccbea0303e67a2418737c4,X100,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99999925
26f30d52a432c32faa6d7d141ee3a18b,X101,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999245
6475c47b748a82b4e2a02f04f942e9c2,X102,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.879256557
c54baab6bd2aa64d75a9b647df7fc8ba,X103,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999949213
47e13ed5a6f8712dc0cd439dca1aa08c,X104,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999266
49d0d7e93b41e4ce4b94977c249ae7ef,X105,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999412
a1c837c6bf98326013d7e6a23be688ba,X106,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8717961
d128f82e71088e4388bee4610f4cf4de,X107,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.877396084
aa85a46ae600176364457edfc6ae2014,X108,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999958009
7513845831df8ed971745f71a4ac3fb1,X109,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.882219693
bc3d4362a4202a212746fb992ef35d51,X110,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999986018
b00cdc369507236544dccb3804880bf0,X111,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.997862979
775cc730ba255ad487e21b5050a032e7,X112,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum,0.999999997
a101944cfe22d9ca0abe99f03b51979e,X113,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.957203293
a806f4b5cbda39695fa5af7029a1ef70,X114,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999916
7dd186109500fdf8336153937b355042,X115,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99451671
0d697156cd5695480f8ac2012036bd30,X116,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99999983
f9b73ab4681e67d2ef74d706e6074134,X117,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.881404264
40677315a80052365769b4fe4a08bb58,X118,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999012
7405e70dbbe809a04a3a6a585a506592,X119,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999946
80220c4ff96f8950628142a2e581fd1e,X120,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999771
2d04c56322be32271ee897844ff844ec,X121,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99999778
34593bd017efc5340d8a2d64671c3efc,X122,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999407
b152d979074da990d9b489280af52965,X123,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999920307
12fe30572e040f588e9fd11cd8524ad8,X124,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999741
8c7e26b63087ee256be111b0093d6f3e,X125,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.99995705
fb3fc6723c3ed135648168e874291b8b,X126,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999119
9a005f654d554847dd197ce28acd7476,X127,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.953975038
62f956bffd6dd11d727e7e05deb08add,X128,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999169
308e2cd842a38e889cb29cc39670604a,X129,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999452
871cf568d041427a5faf28dec39e9f1a,X130,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999995
d6aa4703dcc37126784cace0f17fe204,X131,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999959841
683398d19cd86e3d4c6eca2ad9cb9d9d,X132,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999977124
6cd3980e7cd587efaf7551ff2df4b377,X133,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999997785
f3cd6871041f059c8b3608e62a69b19b,X134,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999397
37e0848ac386170603ffb706f4971fa6,X135,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.881621872
ce8d166eac2f7d8c188a49987496132a,X136,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999357
368534e4ba12b1880d2ca645975eaaee,X137,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999936
b4a5ddff3bac30057aed6619ae3495c8,X138,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999998871
2caebef349ad9071b347ee889132bf16,X139,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.918287133
4293a84720569009161eb26dc6cba31c,X140,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999974888
58142a21a2ce875ecd97114427fad0b4,X141,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999939557
7cb6594e34ff2b92d963306ce75026d2,X142,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999971755
0a5539fc1f0a39865338cfa87471f9e5,X143,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999967742
82cab18a85ae8bbdfe9ce40bbe451a40,X144,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999336
f42b579011c768251beae368856bdd63,X145,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999957543
a43d99627a9f5227ca59ef788262709c,X146,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999940262
c9573ca9f79a60bebe180aa0e6b690cc,X147,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999947989
52d40ef8233eeae14230f3a6bca894f2,X148,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.91464429
555d1b0301f45e832309bc3e605d343b,X149,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.898484237
9ff00bb4afcb31850acf80e8bee165d8,X150,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999925
6e1a89b33524e911a2fd887042520340,X151,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999983951
fcb584478e8e461079485a33b813844f,X152,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999922245
5ce3cfc1986bb75f1c5caad13371560e,X153,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999975855
197dbf299ba610094ec0373d4032a520,X154,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999997097
07459a23004d839533d9cb04f3bda700,X155,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999911
4558ab7a03aa8ef8fc229c91a617f4d9,X156,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium,0.999719991
f88e7637ec364e52e2f706914ba356fb,X157,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999577
bdb2e15ceec8fffb7828937fc693cccf,X158,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999953849
e6b01b0ad4ed8bce1f814c169cbc3a0f,X159,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.904130894
9b7931d08c62607249fe12c2b5769e79,X160,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999967117
4452885f601b589ea8a73c3b2e809558,X161,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999926546
fc9b91016b3b32f0c41f9a1e093bda80,X162,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999914469
d08ea27f7d751d71aef662d24ca84d62,X163,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999941781
12a99a655ea1b8de195d606164510143,X164,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.906956779
add6feb7ab50d5292ffdc30d3d8cbcb7,X165,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.993677816
3e5c8bf7fcc6ac8b3583d8ea5c5ed52b,X166,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999956541
2fcfa1edfa38d4a8f337248ce5667dc5,X167,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999950068
a2c4afd5213886bde2df4b720b55f0b1,X168,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999063
f6ab9905c1ae9135e96bfbf1df42f1a3,X169,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999948021
578d787ea76ac5f3e84a3dbf6ec1e94f,X170,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.879581809
42264f85b88d55214c083f2afc749190,X171,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999938945
51e8edf671ca50b4fbc43f4c3ec9f50c,X172,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999995
7fdcb69d17695ed0f869fde7ea0a45e4,X173,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999995
c7378e96ee51ba53a0f9238c791bb6f1,X174,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999933101
bd76b3bf06c313c1ff0c28a27411f377,X175,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999965458
1d50ba1b3f738ce7d2054ef0c39dc0d5,X176,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999998634
53cff25bf22ec0f1bf93f5d87888eb3a,X177,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium,0.999476183
c5a61c5fb97d83ce12aeea183f56628f,X178,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.951106333
c3e4bcdf3c0c098f667e70290a45333c,X179,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999941504
b96beaf149285190892f2b812436d6e1,X180,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99995507
4b97cbe0d243e108b5870789059ed0d7,X181,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999996
6e70fa72e2dfa67e83ae0b2ccfb64afa,X182,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999955019
f98d979df04d330a67fb4e5b98ca104d,X183,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.999961168
689c12390c09b9a29cf4fb872b49edd9,X184,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.990494825
fb4ab06d1dfa87af3bbfa3cdfa43065e,X185,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999987
5b11801bb8adfc9ff5e1a1960d96bc16,X186,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99997057
4b28010a343b8f259cd4e8f4c91672c8,X187,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999783795
c00da10f7b1c5103b343824f9ff5937b,X188,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium,0.999628221
f969f77024f652bdd33ca8aa4d348a91,X189,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999920754
7db509e298401edfc42514f0e35a48bd,X190,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999947241
31104eba47b7c647b4712e33dfeb786b,X191,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999889
e2ef7cb559b4796a5ecbf979b2c6c47c,X192,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999945523
